      1       0 root                 /usr/lib/systemd/systemd --  0.1  0.0 15104
      2       0 root                 [kthreadd]                   0.0  0.0     0
      3       2 root                 [pool_workqueue_release]     0.0  0.0     0
      4       2 root                 [kworker/R-rcu_g]            0.0  0.0     0
      5       2 root                 [kworker/R-rcu_p]            0.0  0.0     0
      6       2 root                 [kworker/R-slub_]            0.0  0.0     0
      7       2 root                 [kworker/R-netns]            0.0  0.0     0
      9       2 root                 [kworker/0:0H-events_highpr  0.0  0.0     0
     10       2 root                 [kworker/0:1-events]         0.0  0.0     0
     12       2 root                 [kworker/R-mm_pe]            0.0  0.0     0
     13       2 root                 [rcu_tasks_kthread]          0.0  0.0     0
     14       2 root                 [rcu_tasks_rude_kthread]     0.0  0.0     0
     15       2 root                 [rcu_tasks_trace_kthread]    0.0  0.0     0
     16       2 root                 [ksoftirqd/0]                0.0  0.0     0
     17       2 root                 [rcu_preempt]                0.0  0.0     0
     18       2 root                 [migration/0]                0.0  0.0     0
     19       2 root                 [idle_inject/0]              0.0  0.0     0
     20       2 root                 [cpuhp/0]                    0.0  0.0     0
     21       2 root                 [cpuhp/1]                    0.0  0.0     0
     22       2 root                 [idle_inject/1]              0.0  0.0     0
     23       2 root                 [migration/1]                0.0  0.0     0
     24       2 root                 [ksoftirqd/1]                0.0  0.0     0
     26       2 root                 [kworker/1:0H-events_highpr  0.0  0.0     0
     27       2 root                 [cpuhp/2]                    0.0  0.0     0
     28       2 root                 [idle_inject/2]              0.0  0.0     0
     29       2 root                 [migration/2]                0.0  0.0     0
     30       2 root                 [ksoftirqd/2]                0.0  0.0     0
     32       2 root                 [kworker/2:0H-events_highpr  0.0  0.0     0
     33       2 root                 [cpuhp/3]                    0.0  0.0     0
     34       2 root                 [idle_inject/3]              0.0  0.0     0
     35       2 root                 [migration/3]                0.0  0.0     0
     36       2 root                 [ksoftirqd/3]                0.0  0.0     0
     38       2 root                 [kworker/3:0H-events_highpr  0.0  0.0     0
     39       2 root                 [cpuhp/4]                    0.0  0.0     0
     40       2 root                 [idle_inject/4]              0.0  0.0     0
     41       2 root                 [migration/4]                0.0  0.0     0
     42       2 root                 [ksoftirqd/4]                0.0  0.0     0
     44       2 root                 [kworker/4:0H-events_highpr  0.0  0.0     0
     45       2 root                 [cpuhp/5]                    0.0  0.0     0
     46       2 root                 [idle_inject/5]              0.0  0.0     0
     47       2 root                 [migration/5]                0.0  0.0     0
     48       2 root                 [ksoftirqd/5]                0.0  0.0     0
     49       2 root                 [kworker/5:0-i915-unordered  0.0  0.0     0
     50       2 root                 [kworker/5:0H-events_highpr  0.0  0.0     0
     51       2 root                 [cpuhp/6]                    0.0  0.0     0
     52       2 root                 [idle_inject/6]              0.0  0.0     0
     53       2 root                 [migration/6]                0.0  0.0     0
     54       2 root                 [ksoftirqd/6]                0.0  0.0     0
     56       2 root                 [kworker/6:0H-events_highpr  0.0  0.0     0
     57       2 root                 [cpuhp/7]                    0.0  0.0     0
     58       2 root                 [idle_inject/7]              0.0  0.0     0
     59       2 root                 [migration/7]                0.0  0.0     0
     60       2 root                 [ksoftirqd/7]                0.0  0.0     0
     62       2 root                 [kworker/7:0H-events_highpr  0.0  0.0     0
     63       2 root                 [cpuhp/8]                    0.0  0.0     0
     64       2 root                 [idle_inject/8]              0.0  0.0     0
     65       2 root                 [migration/8]                0.0  0.0     0
     66       2 root                 [ksoftirqd/8]                0.0  0.0     0
     68       2 root                 [kworker/8:0H-events_highpr  0.0  0.0     0
     69       2 root                 [cpuhp/9]                    0.0  0.0     0
     70       2 root                 [idle_inject/9]              0.0  0.0     0
     71       2 root                 [migration/9]                0.0  0.0     0
     72       2 root                 [ksoftirqd/9]                0.0  0.0     0
     74       2 root                 [kworker/9:0H-events_highpr  0.0  0.0     0
     75       2 root                 [cpuhp/10]                   0.0  0.0     0
     76       2 root                 [idle_inject/10]             0.0  0.0     0
     77       2 root                 [migration/10]               0.0  0.0     0
     78       2 root                 [ksoftirqd/10]               0.0  0.0     0
     80       2 root                 [kworker/10:0H-events_highp  0.0  0.0     0
     81       2 root                 [cpuhp/11]                   0.0  0.0     0
     82       2 root                 [idle_inject/11]             0.0  0.0     0
     83       2 root                 [migration/11]               0.0  0.0     0
     84       2 root                 [ksoftirqd/11]               0.0  0.0     0
     86       2 root                 [kworker/11:0H-events_highp  0.0  0.0     0
     87       2 root                 [kdevtmpfs]                  0.0  0.0     0
     88       2 root                 [kworker/R-inet_]            0.0  0.0     0
     89       2 root                 [kauditd]                    0.0  0.0     0
     91       2 root                 [kworker/1:1-i915-unordered  0.0  0.0     0
     92       2 root                 [khungtaskd]                 0.0  0.0     0
     93       2 root                 [oom_reaper]                 0.0  0.0     0
     95       2 root                 [kworker/R-write]            0.0  0.0     0
     96       2 root                 [kcompactd0]                 0.0  0.0     0
     97       2 root                 [ksmd]                       0.0  0.0     0
     98       2 root                 [khugepaged]                 0.0  0.0     0
     99       2 root                 [kworker/R-kinte]            0.0  0.0     0
    100       2 root                 [kworker/R-kbloc]            0.0  0.0     0
    101       2 root                 [kworker/R-blkcg]            0.0  0.0     0
    102       2 root                 [irq/9-acpi]                 0.0  0.0     0
    104       2 root                 [kworker/7:1-events]         0.0  0.0     0
    105       2 root                 [kworker/R-tpm_d]            0.0  0.0     0
    106       2 root                 [kworker/R-ata_s]            0.0  0.0     0
    107       2 root                 [kworker/R-md]               0.0  0.0     0
    108       2 root                 [kworker/R-md_bi]            0.0  0.0     0
    109       2 root                 [kworker/R-edac-]            0.0  0.0     0
    110       2 root                 [kworker/R-devfr]            0.0  0.0     0
    111       2 root                 [watchdogd]                  0.0  0.0     0
    112       2 root                 [kworker/7:1H-kblockd]       0.0  0.0     0
    113       2 root                 [kworker/11:1-events]        0.0  0.0     0
    114       2 root                 [kswapd0]                    0.0  0.0     0
    115       2 root                 [ecryptfs-kthread]           0.0  0.0     0
    116       2 root                 [kworker/R-kthro]            0.0  0.0     0
    117       2 root                 [irq/123-aerdrv]             0.0  0.0     0
    118       2 root                 [irq/123-pcie-dpc]           0.0  0.0     0
    119       2 root                 [irq/124-aerdrv]             0.0  0.0     0
    120       2 root                 [irq/124-pcie-dpc]           0.0  0.0     0
    121       2 root                 [kworker/R-acpi_]            0.0  0.0     0
    123       2 root                 [hwrng]                      0.0  0.0     0
    124       2 root                 [kworker/R-mld]              0.0  0.0     0
    125       2 root                 [kworker/6:1H-kblockd]       0.0  0.0     0
    126       2 root                 [kworker/R-ipv6_]            0.0  0.0     0
    133       2 root                 [kworker/R-kstrp]            0.0  0.0     0
    136       2 root                 [kworker/3:1-events]         0.0  0.0     0
    138       2 root                 [kworker/10:1-i915-unordere  0.3  0.0     0
    153       2 root                 [kworker/R-charg]            0.0  0.0     0
    176       2 root                 [kworker/9:1H-kblockd]       0.0  0.0     0
    180       2 root                 [kworker/2:1H-events_highpr  0.0  0.0     0
    181       2 root                 [kworker/11:1H-kblockd]      0.0  0.0     0
    194       2 root                 [kworker/9:1-events]         0.0  0.0     0
    198       2 root                 [kworker/5:1H-events_highpr  0.0  0.0     0
    200       2 root                 [kworker/3:1H-kblockd]       0.0  0.0     0
    214       2 root                 [kworker/1:1H-kblockd]       0.0  0.0     0
    215       2 root                 [kworker/10:1H-kblockd]      0.0  0.0     0
    216       2 root                 [kworker/8:1H-kblockd]       0.0  0.0     0
    217       2 root                 [kworker/0:1H-events_highpr  0.0  0.0     0
    219       2 root                 [kworker/4:1H-kblockd]       0.0  0.0     0
    257       2 root                 [kworker/R-nvme-]            0.0  0.0     0
    258       2 root                 [kworker/R-nvme-]            0.0  0.0     0
    259       2 root                 [kworker/R-nvme-]            0.0  0.0     0
    260       2 root                 [kworker/R-nvme-]            0.0  0.0     0
    275       2 root                 [kworker/u24:3-events_unbou  0.0  0.0     0
    282       2 root                 [irq/95-ELAN1203:00]         0.1  0.0     0
    286       2 root                 [kworker/1:2-events]         0.0  0.0     0
    325       2 root                 [kworker/R-uas]              0.0  0.0     0
    326       2 root                 [scsi_eh_0]                  0.0  0.0     0
    327       2 root                 [kworker/R-scsi_]            0.0  0.0     0
    346       2 root                 [jbd2/nvme0n1p2-8]           0.0  0.0     0
    347       2 root                 [kworker/R-ext4-]            0.0  0.0     0
    400       1 root                 /usr/lib/systemd/systemd-jo  0.0  0.0 18960
    462       2 root                 [kworker/R-ttm]              0.0  0.0     0
    464       2 root                 [card1-crtc0]                0.0  0.0     0
    465       2 root                 [card1-crtc1]                0.0  0.0     0
    466       2 root                 [card1-crtc2]                0.0  0.0     0
    518       1 root                 /usr/lib/systemd/systemd-ud  0.0  0.0  8960
    520       2 root                 [card0-crtc0]                0.0  0.0     0
    521       2 root                 [card2-crtc0]                0.0  0.0     0
    522       2 root                 [card3-crtc0]                0.0  0.0     0
    523       2 root                 [card4-crtc0]                0.0  0.0     0
    524       2 root                 [psimon]                     0.0  0.0     0
    788       2 root                 [irq/147-mei_me]             0.0  0.0     0
    810       2 root                 [kworker/R-cfg80]            0.0  0.0     0
    831       2 root                 [kworker/R-crypt]            0.0  0.0     0
    834       2 root                 [irq/148-iwlwifi:default_qu  0.0  0.0     0
    835       2 root                 [irq/149-iwlwifi:queue_1]    0.0  0.0     0
    836       2 root                 [irq/150-iwlwifi:queue_2]    0.0  0.0     0
    837       2 root                 [irq/151-iwlwifi:queue_3]    0.0  0.0     0
    838       2 root                 [irq/152-iwlwifi:queue_4]    0.0  0.0     0
    839       2 root                 [irq/153-iwlwifi:queue_5]    0.0  0.0     0
    840       2 root                 [irq/154-iwlwifi:queue_6]    0.0  0.0     0
    841       2 root                 [irq/155-iwlwifi:queue_7]    0.0  0.0     0
    842       2 root                 [irq/156-iwlwifi:queue_8]    0.0  0.0     0
    843       2 root                 [irq/157-iwlwifi:queue_9]    0.0  0.0     0
    844       2 root                 [irq/158-iwlwifi:queue_10]   0.0  0.0     0
    845       2 root                 [irq/159-iwlwifi:queue_11]   0.0  0.0     0
    846       2 root                 [irq/160-iwlwifi:queue_12]   0.0  0.0     0
    847       2 root                 [irq/161-iwlwifi:exception]  0.0  0.0     0
    885       2 root                 [kworker/R-asus_]            0.0  0.0     0
   1077       2 root                 [kworker/R-led_w]            0.0  0.0     0
   1389       2 root                 [kworker/u24:5-events_unbou  0.0  0.0     0
   1403       1 systemd-oom          /usr/lib/systemd/systemd-oo  0.0  0.0  7424
   1407       1 systemd-resolve      /usr/lib/systemd/systemd-re  0.0  0.0 12928
   1410       1 systemd-timesync     /usr/lib/systemd/systemd-ti  0.0  0.0  7552
   1526       2 root                 [nv_queue]                   0.0  0.0     0
   1527       2 root                 [nv_queue]                   0.0  0.0     0
   1533       2 root                 [nv_open_q]                  0.0  0.0     0
   1577       2 root                 [nvidia-modeset/kthread_q]   0.0  0.0     0
   1578       2 root                 [nvidia-modeset/deferred_cl  0.0  0.0     0
   1579       2 root                 [irq/163-nvidia]             0.4  0.0     0
   1580       2 root                 [nvidia]                     0.0  0.0     0
   1581       2 root                 [nv_queue]                   0.0  0.0     0
   1587       1 avahi                avahi-daemon: running [ubun  0.0  0.0  4220
   1588       1 root                 /usr/libexec/bluetooth/blue  0.0  0.0  6272
   1589       1 messagebus           @dbus-daemon --system --add  0.0  0.0  7168
   1594       1 gnome-remote-desktop /usr/libexec/gnome-remote-d  0.0  0.0 15708
   1609       1 root                 /usr/bin/python3 /usr/bin/n  0.0  0.0 22272
   1620       1 polkitd              /usr/lib/polkit-1/polkitd -  0.0  0.0 11372
   1622       1 root                 /usr/libexec/power-profiles  0.0  0.0  7732
   1624       1 root                 /usr/bin/nvidia-persistence  0.0  0.0  2308
   1633       1 root                 /usr/lib/snapd/snapd         0.2  0.1 41448
   1653       1 root                 /usr/libexec/accounts-daemo  0.0  0.0  7916
   1657       1 root                 /usr/sbin/cron -f -P         0.0  0.0  2688
   1661       1 root                 /usr/libexec/switcheroo-con  0.0  0.0  7040
   1669       1 root                 /usr/lib/systemd/systemd-lo  0.0  0.0  8712
   1678       1 root                 /usr/sbin/thermald --system  0.0  0.0 10752
   1680       1 root                 /usr/libexec/udisks2/udisks  0.0  0.0 15556
   1707    1587 avahi                avahi-daemon: chroot helper  0.0  0.0  1292
   1726       1 root                 /usr/sbin/NetworkManager --  0.0  0.0 19400
   1727       1 root                 /usr/sbin/wpa_supplicant -u  0.0  0.0 10880
   1730       1 syslog               /usr/sbin/rsyslogd -n -iNON  0.0  0.0  5248
   1857       1 root                 /usr/sbin/ModemManager       0.0  0.0 12208
   1917       1 root                 /usr/libexec/upowerd         0.0  0.0 10368
   2303       2 root                 [kworker/R-iprt-]            0.0  0.0     0
   2306       2 root                 [iprt-VBoxTscThread]         0.0  0.0     0
   2545       1 root                 /usr/sbin/cupsd -l           0.0  0.0 11520
